 
1,234 Vega	65°40′31″N	11°57′28″E
528 Vevelstad	65°40′06″N	12°31′07″E
1,788 Herøy	65°59′55″N	12°13′02″E
7,428 Alstahaug	65°57′24″N	12°34′22″E
2,278 Leirfjord	66°06′46″N	13°07′51″E
13,465 Vefsn	65°47′57″N	13°15′02″E
1,469 Grane	65°24′02″N	13°30′38″E
1,414 Hattfjelldal	65°32′51″N	14°08′04″E
1,410 Dønna	66°05′29″N	12°31′33″E
1,837 Nesna	66°15′28″N	13°02′06″E
4,524 Hemnes	66°03′15″N	14°01′50″E
26,101 Rana	66°22′19″N	14°20′34″E
1,920 Lurøy	66°25′55″N	12°51′18″E
465 Træna	66°30′27″N	12°01′51″E
1,267 Rødøy	66°35′36″N	13°21′34″E
6,435 Meløy	66°47′17″N	13°40′33″E
2,024 Gildeskål	67°01′24″N	14°04′38″E
1,043 Beiarn	66°55′02″N	14°40′29″E
4,702 Saltdal	66°55′12″N	15°33′36″E
9,729 Fauske	67°13′14″N	15°48′31″E
1,958 Sørfold	67°13′14″N	15°48′31″E
2,543 Steigen	67°47′54″N	15°10′19″E
2,134 Lødingen	68°24′15″N	15°34′17″E
1,402 Evenes	68°32′11″N	16°55′55″E
535 Røst	67°31′12″N	12°05′56″E
744 Værøy	67°40′23″N	12°40′09″E
1,349 Flakstad	68°04′45″N	13°16′28″E
11,294 Vestvågøy	68°13′17″N	13°47′04″E
9,444 Vågan	68°16′41″N	14°31′15″E
8,009 Hadsel	68°32′06″N	14°49′30″E
2,624 Bø	68°41′43″N	14°34′46″E
4,580 Øksnes	68°53′18″N	15°11′00″E
10,378 Sortland	68°42′31″N	15°16′51″E
4,908 Andøy	69°05′40″N	15°45′52″E
1,073 Moskenes	67°55′31″N	12°57′32″E
1,810 Hamarøy	68°04′33″N	15°46′56″E
31,444 Halden	59°7′35″N	11°28′58″E
50,290 Moss	59°27′33″N	10°42′3″E
58,182 Sarpsborg	59°17′09″N	11°06′43″E
83,892 Fredrikstad	59°12′19″N	10°57′0″E
102,449 Drammen	59°44′16″N	10°12′18″E
27,879 Kongsberg	59°40′10″N	09°39′06″E
31 011 Ringerike	60°12′19″N	10°9′9″E
4,741 Hvaler	59°3′23″N	11°1′20″E
1 315 Aremark	59°13′23″N	11°41′44″E
3,578 Marker	59°30′40″N	11°37′42″E
45,608 Indre Østfold	59°34′56″N	11°10′13″E
3,846 Skiptvet	59°28′50″N	11°8′40″E
8,312 Rakkestad	59°22′23″N	11°25′13″E
7,633 Råde	59°20′56″N	10°51′18″E
5,913 Våler	59°28′21″N	10°55′1″E
18,699 Vestby	59°34′30″N	10°43′55″E
61,032 Nordre Follo	59°45′00″N	10°52′00″E
20,780 Ås	59°39′37″N	10°47′1″E
16,084 Frogn	59°41′56″N	10°39′19″E
19,939 Nesodden	59°48′31″N	10°39′20″E
129,073 Bærum	59°56′18″N	10°30′24″E
96,088 Asker	59°50′7″N	10°26′6″E
17,754 Aurskog-Høland	59°50′24″N	11°34′6″E
19,024 Rælingen	59°53′21″N	11°4′31″E
11,249 Enebakk	59°46′27″N	11°6′7″E
44,693 Lørenskog	59°53′56″N	10°57′51″E
89,095 Lillestrøm	59°57′N	11°05′E
