   -3.9   0   76.6	
   0.4   1.4   73	Thu 07 Dec 2023 05:39:41 PM UTC
   1.4   0   59.6	Thu 07 Dec 2023 05:39:42 PM UTC
   0   0   58.3	Thu 07 Dec 2023 05:39:42 PM UTC
   2   0.6   62.9	Thu 07 Dec 2023 05:39:43 PM UTC
   -0.2   1.4   74.8	Thu 07 Dec 2023 05:39:43 PM UTC
   -3.1   2   79.3	Thu 07 Dec 2023 05:39:44 PM UTC
   0.2   1.8   72.2	Thu 07 Dec 2023 05:39:44 PM UTC
   -0.3   1.2   77	Thu 07 Dec 2023 05:39:45 PM UTC
   1.3   0.8   71.4	Thu 07 Dec 2023 05:39:45 PM UTC
   0.9   1.1   71.8	Thu 07 Dec 2023 05:39:45 PM UTC
   -0.1   1.1   68.6	Thu 07 Dec 2023 05:39:46 PM UTC
   2   0.6   65.1	Thu 07 Dec 2023 05:39:46 PM UTC
   1.7   0   66.1	Thu 07 Dec 2023 05:39:47 PM UTC
   2.1   0   59.3	Thu 07 Dec 2023 05:39:47 PM UTC
   -3.7   0.8   70.2	Thu 07 Dec 2023 05:39:48 PM UTC
   -4.6   1.2   62.2	Thu 07 Dec 2023 05:39:48 PM UTC
   -4.8   0.9   63.4	Thu 07 Dec 2023 05:39:49 PM UTC
   2.2   1.2   58.3	Thu 07 Dec 2023 05:39:49 PM UTC
   1.9   1.2   59	Thu 07 Dec 2023 05:39:50 PM UTC
   0.3   0.9   56	Thu 07 Dec 2023 05:39:50 PM UTC
   2.1   1.3   61.1	Thu 07 Dec 2023 05:39:51 PM UTC
   1.8   1.2   60.7	Thu 07 Dec 2023 05:39:51 PM UTC
   -2.6   0   61.8	Thu 07 Dec 2023 05:39:51 PM UTC
   -1.5   0   60.1	Thu 07 Dec 2023 05:39:52 PM UTC
   -4.8   0   55.4	Thu 07 Dec 2023 05:39:52 PM UTC
   -0.8   0   58.5	Thu 07 Dec 2023 05:39:53 PM UTC
   -4.8   0   50.3	Thu 07 Dec 2023 05:39:53 PM UTC
   -0.6   0   66.5	Thu 07 Dec 2023 05:39:54 PM UTC
   -3   0   69.8	Thu 07 Dec 2023 05:39:55 PM UTC
   -3.2   0   58.8	Thu 07 Dec 2023 05:39:55 PM UTC
   -2.9   0   55.2	Thu 07 Dec 2023 05:39:56 PM UTC
   -2.5   0   36.2	Thu 07 Dec 2023 05:39:56 PM UTC
   -10.7   0   47.4	Thu 07 Dec 2023 05:39:56 PM UTC
   -3.2   0   43.9	Thu 07 Dec 2023 05:39:57 PM UTC
   -3.9   0   52.9	Thu 07 Dec 2023 05:39:57 PM UTC
   -1.2   0   62.7	Thu 07 Dec 2023 05:39:58 PM UTC
   -9.8   0   45.2	Thu 07 Dec 2023 05:39:58 PM UTC
   -2.9   0   47.5	Thu 07 Dec 2023 05:39:58 PM UTC
   -4.9   0   66.8	Thu 07 Dec 2023 05:39:59 PM UTC
   -2.6   0   61.1	Thu 07 Dec 2023 05:39:59 PM UTC
   -7.3   0   60.9	Thu 07 Dec 2023 05:39:59 PM UTC
   -7.3   0   59.2	Thu 07 Dec 2023 05:40:00 PM UTC
   -10.2   0   51.8	Thu 07 Dec 2023 05:40:00 PM UTC
   -11   0   49.8	Thu 07 Dec 2023 05:40:00 PM UTC
   -5.9   0   77.2	Thu 07 Dec 2023 05:40:01 PM UTC
   -4.2   0   42	Thu 07 Dec 2023 05:40:01 PM UTC
   -5.2   0   46.8	Thu 07 Dec 2023 05:40:02 PM UTC
   -1.4   0   34.9	Thu 07 Dec 2023 05:40:02 PM UTC
   -3.3   0   49.3	Thu 07 Dec 2023 05:40:02 PM UTC
   -3.5   0   61.4	Thu 07 Dec 2023 05:40:03 PM UTC
   -11.3   0   67.3	Thu 07 Dec 2023 05:40:03 PM UTC
   -5   0   72.8	Thu 07 Dec 2023 05:40:04 PM UTC
   -3.4   0   69.4	Thu 07 Dec 2023 05:40:04 PM UTC
   -4.9   0   72.5	Thu 07 Dec 2023 05:40:05 PM UTC
   -2.3   0   67.2	Thu 07 Dec 2023 05:40:05 PM UTC
   -8.6   0   80.7	Thu 07 Dec 2023 05:40:05 PM UTC
   -1.2   0   63.8	Thu 07 Dec 2023 05:40:06 PM UTC
   -6.2   0   70.6	Thu 07 Dec 2023 05:40:06 PM UTC
   -5.2   0   67.5	Thu 07 Dec 2023 05:40:06 PM UTC
   -11.7   0   83.1	Thu 07 Dec 2023 05:40:07 PM UTC
   -9.4   0   89.5	Thu 07 Dec 2023 05:40:07 PM UTC
   -13.3   0   84	Thu 07 Dec 2023 05:40:07 PM UTC
   -4   0   67.2	Thu 07 Dec 2023 05:40:08 PM UTC
   -7.5   0   68.3	Thu 07 Dec 2023 05:40:08 PM UTC
   -7.1   0   72.2	Thu 07 Dec 2023 05:40:09 PM UTC
   -9.2   0   71	Thu 07 Dec 2023 05:40:09 PM UTC
   -4.3   0   59.8	Thu 07 Dec 2023 05:40:09 PM UTC
   -0.3   0   62.9	Thu 07 Dec 2023 05:40:10 PM UTC
   -5.7   0   63.1	Thu 07 Dec 2023 05:40:10 PM UTC
   -8.9   0   57.9	Thu 07 Dec 2023 05:40:10 PM UTC
   -4.8   0   52.1	Thu 07 Dec 2023 05:40:11 PM UTC
   -9   0   65.8	Thu 07 Dec 2023 05:40:11 PM UTC
   -8.4   0   74.9	Thu 07 Dec 2023 05:40:11 PM UTC
   -12.6   0   75.7	Thu 07 Dec 2023 05:40:12 PM UTC
   -12.6   0   75.7	Thu 07 Dec 2023 05:40:12 PM UTC
   -5.8   0   61.4	Thu 07 Dec 2023 05:40:12 PM UTC
   -5.6   0   73.3	Thu 07 Dec 2023 05:40:13 PM UTC
   -8.7   0   73.3	Thu 07 Dec 2023 05:40:13 PM UTC
   1.5   1.6   68.1	Thu 07 Dec 2023 05:40:13 PM UTC
   1.4   0.9   65.4	Thu 07 Dec 2023 05:40:14 PM UTC
   -2.8   3.2   84.6	Thu 07 Dec 2023 05:40:14 PM UTC
   0   2   80.8	Thu 07 Dec 2023 05:40:15 PM UTC
   -2.1   0.9   79.7	Thu 07 Dec 2023 05:40:15 PM UTC
